waste_type,ash_content,VM,FC,carbon_content,H,O,N,S,Cel,Hem,Lig,HHV,Source
Cassava Waste,2.91,85.87,11.22,44.12,6.44,48.62,0.81,0.2,39.45,11.88,20.17,17.21,"(Veiga et al., 2016)"
"barley straw, Canada",10.5,84.3,5.2,37.05,5.55,46.33,0.56,0.01,32.5,25.7,23,15.7,"(TNO, 2020)"
corn cob,3.48,77.65,18.54,48.22,6.2,42.94,1.57,0.13,26.3,25.2,16.3,19.26,"(TNO, 2020)"
corn stover,7.35,78.1,14.55,46.5,5.81,39.67,0.56,0.11,36.8,25.4,16.9,19,"(Evans et al., 1988)"
Rice Straw (RS),13.7,65,11.3,38.8,6.7,38.8,0.2,0.2,38.1,19.9,11.9,16.2,"(Raj et al., 2015)"
Rice Husk (RH),17.4,64,8.8,39.8,5.7,39.8,0.5,0.2,32.4,13.9,26.4,15.5,"(Raj et al., 2015)"
Cotton Stalk (CS),3.5,71,16.6,46.8,6.4,46.8,0.3,0.2,39.4,19.2,23.2,19.2,"(Raj et al., 2015)"
Wheat Straw (WS),10.5,63,15.9,41.7,5,41.7,0.4,0.3,36.6,18.9,20.3,17.4,"(Raj et al., 2015)"
Sugarcane Bagasse (SCB),4.4,76,9.6,43.2,6.2,43.2,0.4,0.8,36.6,18.7,19.8,17.7,"(Raj et al., 2015)"
Corn Stover (CRS),11.1,73,7.9,45.7,6.3,45.7,0.4,0.5,28.3,16.4,21.5,17.9,"(Raj et al., 2015)"
Sorghum Stalk (SS),8.8,66,16.5,44.4,6.2,44.4,0.5,0.9,35.4,17.4,18.8,17.1,"(Raj et al., 2015)"
Mustard Stalk (MS),7.9,70,12.3,43.8,5.9,43.8,0.3,0.3,39.5,18.7,22.5,17.6,"(Raj et al., 2015)"
Japanese Pine (JP),5.1,71,15.4,45.9,5.9,45.9,0.9,0.04,38.8,16.4,25.4,17.9,"(Raj et al., 2015)"
Corn Cob (CC),5.7,80,4.2,44.2,5.9,44.2,0.4,0.08,32.2,29,15.8,13.3,"(Raj et al., 2015)"
Napier Grass Stem (NGS),1.75,81.51,16.74,48.61,6.01,44.07,0.99,0.32,38.75,19.76,26.99,18.11,"(Mohammed et al., 2015)"
Napier Grass Leaf (NGL),4,79.06,16.94,44.17,5.51,49.04,1.01,0.27,29.36,15.96,30.09,16.21,"(Mohammed et al., 2015)"
Napier Grass Total (NGT),6.34,85.17,8.49,45.1,5.93,47.17,1.45,0.35,34.21,20.44,24.34,16.58,"(Mohammed et al., 2015)"
Rice Husk,17.9,72.8,9.3,48.9,6.2,44.1,0.8,0.32,28.6,28.6,24.4,18.11,"(Nimmanterdwong et al., 2021; Wannapeera et al., 2008)"
Rice Straw,10.1,74.7,15.2,45.2,6.5,47.5,0.8,0.27,32,35.7,22.3,16.21,"(Nimmanterdwong et al., 2021; Wannapeera et al., 2008)"
Corncob,0.9,78.7,16.2,45.5,6.2,47,1.3,0.35,50.5,31,15,16.58,"(Nimmanterdwong et al., 2021; Wannapeera et al., 2008)"
Bamboo*,2.84,77.55,19.59,39,6.1,54,0.6,0.018,47.5,15.35,26.25,17.235,"(Hernandez-Mena et al., 2014)"
Wheat Straw,4.89,79.92,15.18,47.24,6,46.09,0.66,0.09,37.6,31.4,21.3,18.69,"(Greenhalf et al., 2012)"
Switch Grass,5.73,83.23,11.04,49.02,6.15,44.4,0.42,0.15,36,24,15.1,19.64,"(Greenhalf et al., 2012)"
Rape Straw,6.58,76.9,11.88,48.35,5.8,44.7,1.15,0.02,36,31.6,6.1,18.94,"(Greenhalf et al., 2012)"
Reed Canary Grass,4.6,77.45,12.99,48.05,6.08,45.61,0.26,0.17,24,36,2,19.1,"(Greenhalf et al., 2012)"
Rice Straw,12.21,69.28,14.46,40.74,5.53,40.32,0.79,0.36,42.03,17.22,17.58,15.5,"(Wang et al., 2020)"
Wheat Straw,9.24,68.48,17.12,42.5,5.36,41.92,0.6,0.37,40.45,19.45,21.26,16.65,"(Wang et al., 2020)"
Corn Stover,7,71.66,17.12,43.86,5.62,42.13,1,0.39,40.01,15.49,22.74,17,"(Wang et al., 2020)"
Rape Stalk,6.64,74.71,14.03,42.93,5.83,42.92,0.77,0.62,42.44,14.32,19.95,16.63,"(Wang et al., 2020)"
Cotton Stalk,4.78,72.98,18.21,45.83,5.93,41.91,1.12,0.42,40.11,13.39,27.3,17.71,"(Wang et al., 2020)"
Banana peel (BP),12.3,68.02,19.68,43.38,6.04,45.3,2.06,0.42,40.01,15.49,28.3,19.28,"(Balogun et al., 2018)"
Banana pseudo-stem,8.4,74.65,16.95,41.13,6.26,46.12,0.16,0.67,42.44,14.32,16.5,16.58,"(Balogun et al., 2018)"
Banana rachis (BR),7.9,73.32,18.78,42.4,6.23,44.02,0.94,0.44,40.11,13.39,19.2,16.96,"(Fu et al., 2019)"
Plantain peel (PP),11.75,71.74,16.51,43.38,6.18,43.6,0.91,0.84,30.48,18.03,14,18.37,"(Fu et al., 2019)"
Poplar,1.22,85.07,13.71,50.03,6.07,43.6,0.23,0.05,49,24,20,19.5,"(Pham Xuan, 2018; TNO, 2020)"
Semi-dried banana leaves,8.7,78.8,12.5,43.5,6.3,48.7,1.3,0.2,26.7,25.8,17,19.8,"(Fernandes et al., 2013)"
Wet banana leaves,12.2,41.3,46.5,15.9,9.2,73.4,1.4,0.05,53.5,28.5,15.4,5.5,"(Fernandes et al., 2013)"
Sugarcane bagasse,6.7,85.3,8,57.2,6.1,36.4,0.35,0.05,40,23,18,19.4,"(Fernandes et al., 2013)"
Sugarcane straw,11.7,81.6,6.9,41.6,5.8,52.1,0.45,0.08,41.4,32.6,21.4,17.7,"(Fernandes et al., 2013)"
Rice husk,26.2,59.2,14.6,35.6,4.5,59.7,0.19,0.02,35,33,23,13.2,"(Fernandes et al., 2013)"
Wood (average),1,82,17,51.6,6.3,41.5,0,0.1,35,25,25,18.6,"(Fernandes et al., 2013)"
Elephant grass,11,74,15,41.6,5.55,51.1,1.78,0.08,30,30,10,16.8,"(Fernandes et al., 2013)"
Vegetal coal,5.9,26,68.1,79.3,2.74,17,0.65,0.3,35,32.95,23,29.7,"(Fernandes et al., 2013)"
Briquette,0.8,85,14.2,46.74,6.39,45.52,1.24,0.1,35,25,25,18.5,"(Fernandes et al., 2013)"
Wheat Straw (Milkystage),9.49,69.6,20.91,42.88,5.96,41.42,1.39,0.46,28.91,19.37,19.37,16.59,"(Niu et al., 2014)"
Wheat Straw (Doughstage),10.89,69.35,19.76,41.95,5.66,40.87,0.76,0.43,36.84,21.51,20.87,16.43,"(Niu et al., 2014)"
Wheat Straw (Fullyripestage),8.98,70.94,20.08,43,5.39,41.58,0.57,0.32,39.3,23.47,19.98,16.68,"(Niu et al., 2014)"
Wheat Straw (All stages),10.02,69.84,20.16,42.47,5.67,41.42,0.88,0.41,35.29,21.42,20.22,16.53,"(Niu et al., 2014)"
Eucalyptus grandis,0.5,28,28,46.5,5.3,46.2,0.7,1.3,43.4,10.6,28,21.49,"(Bimestre et al., 2024)"
Sugarcane bagasse,3.72,20.21,20.21,47.6,5.4,46.1,0.8,0.02,43.87,27.77,20.21,19.91,"(Fu et al., 2019)"
Barley straw,1.64,10.62,10.62,42.4,5.2,49.4,0.9,2,43.5,33.4,10.62,18.99,"(Fu et al., 2019)"
Corn Straw (Root),4.16,78.01,17.83,45.28,5.9,43.02,12.65,4.77,49.13,23.87,7.96,19.5,"(Fu et al., 2019)"
Corn Straw (Stem),3.43,77.41,19.17,46.63,6.03,43.07,7.15,1.82,44.82,22.93,8.29,19.57,"(Fu et al., 2019)"
Corn Straw (Bract),3.21,79.13,17.66,44.61,5.49,46,6.15,1.03,44.23,31.67,4.88,18.81,"(Fu et al., 2019)"
Corn Straw (Corncob),2.03,79.6,18.37,46.89,5.99,44.42,6.15,0.8,37.16,32.88,8.54,19.53,"(Fu et al., 2019)"
Corn Straw (Leaf),8.22,73.73,18.05,43.77,5.71,40.61,16.5,1.66,33.51,24.52,6.02,18.99,"(Fu et al., 2019)"
Banana Pseudo-Stem,11,88.8,0.2,37.93,4.46,55.37,1.87,0.37,44,17.5,37.3,15.5,"(Abdullah et al., 2014)"
Banana FBS,20.6,79.1,0.3,35.58,4.62,57.16,2.19,0.45,39.8,27.8,18,12.7,"(Abdullah et al., 2014)"
organic domestic waste (ODW),18.9,73.73,18.05,42.09,5.43,31.14,1.78,0.41,33.51,24.52,7,18.04,"(TNO, 2020)"
Cardboard,8.4,84.7,6.9,48.6,6.2,44.96,0.11,0.13,31.1,22.92,16.56,18.45,"(TNO, 2020)"
Paper,7.9,63.61,11,48.62,7.07,36.14,0.15,0.09,33.38,21.27,23.75,21.42,"(TNO, 2020)"
Paper,12.1,76.3,11.6,43.9,4.9,38.9,0.2,0.04,33.38,21.27,23.75,14.37,"(DE KAMP & Morgan, 1996; TNO, 2020)"
Commercial Office Paper,6.72,82.29,10.99,38.75,6.02,48.43,0,0.03,35.95,21.89,17.59,15.38,"(Canova & Bushnell, 1993; TNO, 2020)"
Mixed Waste Paper,16.3,72.79,19.31,52.81,7.1,39.25,0.16,0.1,46,16.3,20.5,20.3,"(TNO, 2020)"
Newspaper,12.1,76.3,11.6,49.14,6.1,43.03,0.05,0.16,46.48,21.08,19.96,19.72,"(Kitani & Hall, 1989; TNO, 2020)"
Newspaper,1,88.5,10.5,51.58,5.84,41.44,0.11,0.03,64.4,21.7,21,19.3,"(Sørum et al., 2001)"
Mixed Waste Paper,11.52,95.08,4.92,47.52,6.23,45.95,0.26,0.08,46.55,20.28,26.32,19.85,"(TNO, 2020)"
Residential Recycle Paper (#1812),4.6,81.61,13.79,45.42,6.11,43.71,0.13,0.02,40.25,24.95,21.97,18.3,"(Canova & Bushnell, 1993; TNO, 2020)"
Residential Recycle Paper (#1811),8.97,80.07,10.96,39.93,5.87,45.44,0.01,0.04,52,21.7,21,15.73,"(Canova & Bushnell, 1993; TNO, 2020)"
"Paper Pulp, De-inked (#2513)",1,85.26,6.89,54,6.23,45.93,0.26,0.08,54,15.8,18.8,19.85,"(TNO, 2020)"
"Paper Pulp, De-inked (#2502)",1,81.61,13.79,69.1,6.41,45.82,0.14,0.02,69.1,17,1.3,18.3,"(TNO, 2020)"
"Paper Pulp, Bleached Birch (#2505)",0.6,80.07,10.96,72.06,6.43,49.78,0.14,0.04,72.06,33.99,6.9,15.73,"(TNO, 2020)"
Pineapple Bran (#2379),3,68.91,28.3,54.65,5.51,38.57,0.74,0.11,30,36,7,20.3,"(TNO, 2020)"
Municipal Wood Waste(from Kampala Uganda),3.08,69.27,17.93,46.22,6.03,44.78,0.03,0.21,52,17,7,20.3,"(Amulen et al., 2022)"
Paper and Cardboard Wood(from kampala Uganda),7.54,66.81,15.98,43.37,5.64,39.82,0.04,0.14,52,32.95,7,20.3,"(Amulen et al., 2022)"
Organic waste(from kampala Uganda),12.18,62.05,12.77,42.11,5.23,41.87,0.06,0.12,30,32.95,7,19.24,"(Amulen et al., 2022)"
"Miscanthus (II, 2020–2021)",1.55,83.42,10.14,52.62,6.12,24.69,0.05,0.1,53.5,23.58,14.54,17.83,"(Šurić et al., 2023)"
"Miscanthus (II, 2020–2021)",1.49,82.44,10.68,51.6,5.4,42.7,0.15,0.17,53.88,24.82,16.09,18.7,"(Šurić et al., 2023)"
"Virginia Mallow (I, 2019–2020)",2.82,79.98,8.17,49.42,6.14,28.26,0.59,0.06,56.5,14.97,15.3,17.48,"(Šurić et al., 2023)"
"Virginia Mallow (II, 2020–2021)",2.85,82.08,8.15,51.51,6.19,26.35,0.19,0.07,55.46,20.11,16.8,17.26,"(Šurić et al., 2023)"
"Virginia Mallow (I, 2019–2020)",4.25,77.26,9.74,49.65,5.74,44.03,0.39,0.03,56.84,12.09,15.13,18.2,"(Šurić et al., 2023)"
"Virginia Mallow (II, 2020–2021)",3.09,85.35,6.78,49.12,5.38,45.23,0.21,0.09,56.93,14.61,15.89,17.57,"(Šurić et al., 2023)"
"Miscanthus (I, 2019–2020)",2.28,80.34,9.42,50.69,6.07,26.78,0.29,0.07,47.42,24.33,13.08,17.73,"(Šurić et al., 2023)"
Wood SawDust,2.4,83.9,13.7,50.69,6.35,40.15,0.25,0.15,47.5,17.92,16.48,17.57,"(Che et al., 2019)"
Coffee Powder,5.5,90.1,4.4,51.7,6.7,33.3,2.7,0.1,26.1,30.2,30.8,18.5,"(Camacho et al., 2016)"
Cocoa Husks,8,85.1,6.9,44.7,6.1,38.6,2.4,0.2,34.4,37.4,18.7,18.2,"(Camacho et al., 2016)"
Coffee Pellets,8.6,86.2,5.2,45.9,5.9,36.2,2.8,0.2,37.1,27.2,31.5,18.4,"(Camacho et al., 2016)"
Rice Husk,4.6,83.4,12,38.5,5.1,51.3,0.5,0.11,37.5,15.4,34.5,15.4,"(Camacho et al., 2016)"
Hazelnut Shells,1.8,77.1,21.1,55.1,6.3,35.2,1.6,0.22,30.5,25.9,35.1,18.8,"(Camacho et al., 2016)"
Coffee Powder,5.5,90.1,4.4,51.7,6.7,33.3,2.7,0.1,26.1,30.2,30.8,18.5,"(Camacho et al., 2016)"
Solid Digestate (SD),12.38,67.07,20.55,42.52,5.94,49.75,1.79,0.12,21.64,15.08,40.88,19.74,"(Barbanera et al., 2018)"
Wood Gasification Char (WGC),30.25,22.42,47.32,66.97,0.48,31.72,0.83,0.11,26.1,30.2,69.54,23.7,"(Barbanera et al., 2018)"
Banana Peels(Uganda),9.28,88.02,2.7,35.65,6.19,45.94,1.94,20.75,9.9,41.38,8.9,16.15,"(OMONDI, 2016)"
Banana Pseudostem(Uganda),9.36,89.43,1.21,33.46,6.44,49.94,0.8,0.04,38.48,25.36,5.77,15.04,"(OMONDI, 2016)"
Banana Leaves(Uganda),9.05,83.35,7.6,38.57,6.44,43.49,2.45,32.7,35.58,23.46,10.58,17.57,"(OMONDI, 2016)"
PKE,2.9,76.1,21,53.6,5.1,40.8,0.5,0.04,39.1,11,21.6,21,"(Akinrinola, 2014)"
Lophira,2.9,78.1,21,51.8,5,42.9,0.3,2.14,52.8,7.7,29-May,20.3,"(Akinrinola, 2014)"
Willow (SRC),1.6,20.3,77.6,51.1,5.3,42.9,0.7,2.14,35.58,23.46,10.58,20.2,"(Akinrinola, 2014)"
Nauclea,2.6,80.6,19.8,53.1,5.7,40.6,0.6,0.09,50,7,33,21.2,"(Akinrinola, 2014)"
Gmelina,4.9,18.8,80.9,51.4,5.7,42.7,0.2,0.2,56.1,9.9,22.9,20.4,"(Akinrinola, 2014)"
Eucalyptus,1,79.9,18.1,46.3,5.1,48.1,0.5,0.2,30.96,27.18,17.34,18.3,"(Akinrinola, 2014)"
Wheat Straw,0.42,17.6,74.1,42.8,4.9,51.38,0.5,0.2,50,11.8,30.8,17.6,"(Akinrinola, 2014)"
Terminalia,8.3,80.2,17.6,48.9,5.2,45.5,0.3,0.18,56.1,9.9,22.9,19.2,"(Akinrinola, 2014)"
Miscanthus,17.4,82.9,14.7,46.1,4.9,48.5,0.2,0.12,40.2,32.95,13.23,18.1,"(Akinrinola, 2014)"
PKE,2.9,76.1,21,53.6,5.1,40.8,0.5,0.2,39.1,11,21.6,21,"(Akinrinola, 2014)"
Corn Leaf Waste,9.7,73.4,15.7,47.7,6.4,42.1,2.9,0.9,32.1,18.1,11.9,17.9,"(Amer et al., 2021)"
Chinese Corn Leaf,7,83.7,16.3,49.3,5.7,44.1,0.9,0.1,40,19,17,16.3,"(Amer et al., 2021; Li et al., 2008)"
Pakistani Corn Leaf,7.8,79.1,5.7,47,5.4,46.8,0.7,0.1,37,18,11,17.4,"(Amer et al., 2021; Danish et al., 2015)"
